split,prediction_model,reconstruction_variant,diagnostic_name,failure_mode,n_failure,n_reference,failure_median,reference_median,median_delta,median_ratio,cliffs_delta
val,majority,pca@32,midprice_mae,low_confidence_vs_high_confidence,1200,1200,0.0083845653571188,0.0083845653571188,0.0,1.0,0.0
val,majority,pca@32,midprice_mae,non_neutral_missed_vs_detected,305,0,0.0085221733897924,,,,
val,majority,pca@32,top1_volume_sum_mae,incorrect_vs_correct,305,895,0.5163463354110718,0.4363904893398285,0.07995584607124329,1.1832208721876605,0.15104313581829837
val,majority,pca@32,top1_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.4498490989208221,,,
val,majority,pca@32,top1_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.4498490989208221,0.4498490989208221,0.0,1.0,0.0
val,majority,pca@32,top1_volume_sum_mae,non_neutral_missed_vs_detected,305,0,0.5163463354110718,,,,
val,majority,pca@32,top5_volume_sum_mae,incorrect_vs_correct,305,895,1.0225588083267212,0.845512330532074,0.17704647779464722,1.2093955006939205,0.16590896602252952
val,majority,pca@32,top5_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.8782581388950348,,,
val,majority,pca@32,top5_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.8782581388950348,0.8782581388950348,0.0,1.0,0.0
val,majority,pca@32,top5_volume_sum_mae,non_neutral_missed_vs_detected,305,0,1.0225588083267212,,,,
val,majority,pca@64,normalized_mse,incorrect_vs_correct,305,895,0.2137795090675354,0.1690794080495834,0.04470010101795199,1.2643734179909327,0.2121256525322832
val,majority,pca@64,normalized_mse,opposite_direction_vs_not,0,1200,,0.183778166770935,,,
val,majority,pca@64,normalized_mse,low_confidence_vs_high_confidence,1200,1200,0.183778166770935,0.183778166770935,0.0,1.0,0.0
val,majority,pca@64,normalized_mse,non_neutral_missed_vs_detected,305,0,0.2137795090675354,,,,
val,majority,pca@64,top_of_book_mse,incorrect_vs_correct,305,895,0.2467798739671707,0.1834733188152313,0.06330655515193939,1.3450450210457734,0.1532484659767378
val,majority,pca@64,top_of_book_mse,opposite_direction_vs_not,0,1200,,0.198746882379055,,,
val,majority,pca@64,top_of_book_mse,low_confidence_vs_high_confidence,1200,1200,0.198746882379055,0.198746882379055,0.0,1.0,0.0
val,majority,pca@64,top_of_book_mse,non_neutral_missed_vs_detected,305,0,0.2467798739671707,,,,
val,majority,pca@64,last_step_mse,incorrect_vs_correct,305,895,0.2567834258079529,0.2245722711086273,0.03221115469932559,1.1434333568445982,0.14376041762066125
val,majority,pca@64,last_step_mse,opposite_direction_vs_not,0,1200,,0.2304648533463478,,,
val,majority,pca@64,last_step_mse,low_confidence_vs_high_confidence,1200,1200,0.2304648533463478,0.2304648533463478,0.0,1.0,0.0
val,majority,pca@64,last_step_mse,non_neutral_missed_vs_detected,305,0,0.2567834258079529,,,,
val,majority,pca@64,midprice_mae,incorrect_vs_correct,305,895,0.0108607187867164,0.010131106711924,0.0007296120747924007,1.0720170160614013,0.062778642732851
val,majority,pca@64,midprice_mae,opposite_direction_vs_not,0,1200,,0.0102097899653017,,,
val,majority,pca@64,midprice_mae,low_confidence_vs_high_confidence,1200,1200,0.0102097899653017,0.0102097899653017,0.0,1.0,0.0
val,majority,pca@64,midprice_mae,non_neutral_missed_vs_detected,305,0,0.0108607187867164,,,,
val,majority,pca@64,top1_volume_sum_mae,incorrect_vs_correct,305,895,0.4037144184112549,0.3237862288951874,0.0799281895160675,1.24685481463741,0.26566169063101014
val,majority,pca@64,top1_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.34031350910663605,,,
val,majority,pca@64,top1_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.34031350910663605,0.34031350910663605,0.0,1.0,0.0
