split,prediction_model,reconstruction_variant,diagnostic_name,quantile_bin,n_samples,accuracy,macro_f1,balanced_accuracy,mcc,mean_confidence,mean_proba_true,opposite_direction_rate,directional_accuracy_non_neutral,true_down_count,true_neutral_count,true_up_count
val,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q3,300,0.6366666666666667,0.5067651398433234,0.5085106382978722,0.28106417132299527,0.928815797563854,0.6269387273784618,0.17647058823529413,0.37254901960784315,47,198,55
val,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q4,300,0.67,0.4722780466906468,0.49580387087395783,0.20934587203785945,0.9497376119363914,0.6709888127356991,0.10294117647058823,0.35294117647058826,27,232,41
val,logistic_regression,mlp_ae@16,normalized_mse,Q1,300,0.6933333333333334,0.45995528408257047,0.4532224532224532,0.23105223194734842,0.8946943810591826,0.6638831728210153,0.1794871794871795,0.2564102564102564,39,222,39
val,logistic_regression,mlp_ae@16,normalized_mse,Q2,300,0.6633333333333333,0.5626045688545688,0.5646856183244876,0.36152162938737153,0.9284264914331092,0.6494985924099128,0.1559633027522936,0.44954128440366975,47,191,62
val,logistic_regression,mlp_ae@16,normalized_mse,Q3,300,0.6933333333333334,0.41062523973916387,0.42874604006086453,0.14278354019363665,0.935736808065099,0.6875176946800182,0.1568627450980392,0.2549019607843137,28,249,23
val,logistic_regression,mlp_ae@16,normalized_mse,Q4,300,0.6033333333333334,0.44404030212284473,0.5026095480315794,0.1761551081262743,0.9300065769749345,0.6076892594810168,0.14925373134328357,0.3880597014925373,27,233,40
val,logistic_regression,mlp_ae@16,top_of_book_mse,Q1,300,0.68,0.4916781286346503,0.5076779787306103,0.2539522990570857,0.8931524894979281,0.6526693354637803,0.1388888888888889,0.375,37,228,35
val,logistic_regression,mlp_ae@16,top_of_book_mse,Q2,300,0.6933333333333334,0.5031347962382445,0.4969605544187714,0.2985248335799096,0.9286429934960696,0.6685554635603962,0.19540229885057472,0.3218390804597701,41,213,46
val,logistic_regression,mlp_ae@16,top_of_book_mse,Q3,300,0.63,0.4671754880814114,0.47745421664433335,0.20626426646494467,0.9340291118942474,0.6318459413447516,0.13253012048192772,0.3493975903614458,36,217,47
val,logistic_regression,mlp_ae@16,top_of_book_mse,Q4,300,0.65,0.45658984112776907,0.5090248476324426,0.2160228758289909,0.93303966264408,0.655517979023035,0.1746031746031746,0.38095238095238093,27,237,36
