model,model_variant,latent_dim,split,normalized_mse,normalized_mae,original_rmse,original_mae,relative_mse_vs_train_mean,relative_mse_vs_last_snapshot,compression_ratio,num_parameters,train_seconds,inference_ms_per_1000_samples
pca,pca@128,128.0,train,0.07875940948724747,0.12412776798009872,0.20124591886997223,0.07671045511960983,0.07875940948724747,0.06626042925945337,31.25,512000,0.2735112800000934,19.826558033985616
pca,pca@128,128.0,val,0.10180927067995071,0.17345397174358368,0.22928504645824432,0.1112501323223114,0.17617206963767415,0.2775381811254013,31.25,512000,0.2735112800000934,16.995590825293526
pca,pca@128,128.0,test,0.19117014110088348,0.23962922394275665,0.25976309180259705,0.135957270860672,0.18316730568337286,0.28849401181823303,31.25,512000,0.2735112800000934,16.31768063889322
mlp_ae,mlp_ae@16,16.0,train,0.24677836894989014,0.23918111622333527,0.310306191444397,0.13838361203670502,0.24677836894989014,0.20761507437679683,250.0,4236464,8.047049340995727,39.603983035963864
mlp_ae,mlp_ae@16,16.0,val,0.3095127046108246,0.31922608613967896,0.28628009557724,0.16865432262420654,0.5355847594847878,0.8437502056461391,250.0,4236464,8.047049340995727,39.054717502343316
mlp_ae,mlp_ae@16,16.0,test,0.48468106985092163,0.43853089213371277,0.3505743145942688,0.2180478274822235,0.4643911709699401,0.7314300522478371,250.0,4236464,8.047049340995727,43.477644722006225
mlp_ae,mlp_ae@32,32.0,train,0.19823595881462097,0.20790888369083405,0.27140456438064575,0.1190350130200386,0.19823595881462097,0.16677625963971868,125.0,4240576,10.560176396000315,39.878732142304735
mlp_ae,mlp_ae@32,32.0,val,0.292942613363266,0.31657713651657104,0.27737167477607727,0.16460376977920532,0.5069116607613492,0.7985791425866039,125.0,4240576,10.560176396000315,38.67262917386446
mlp_ae,mlp_ae@32,32.0,test,0.47182127833366394,0.4477863609790802,0.3663429021835327,0.22954314947128296,0.4520697208192968,0.7120233979209883,125.0,4240576,10.560176396000315,39.787330329390294
mlp_ae,mlp_ae@64,64.0,train,0.20061473548412323,0.20690469443798065,0.2735511064529419,0.11888723075389862,0.20061473548412323,0.16877752862154255,62.5,4248800,9.02222750299552,34.32297107272981
mlp_ae,mlp_ae@64,64.0,val,0.27767354249954224,0.3090550899505615,0.2717313766479492,0.16168925166130066,0.4804898644205935,0.7569547391635147,62.5,4248800,9.02222750299552,34.81734833864417
mlp_ae,mlp_ae@64,64.0,test,0.4945935904979706,0.44606029987335205,0.37208786606788635,0.22905024886131287,0.47388872999769965,0.746388993179879,62.5,4248800,9.02222750299552,38.076060868361914
