model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
mlp_ae,mlp_ae@16,16.0,train,9,bid,volume,0.3678112626075744,0.3932966589927673,0.1926251798868179
mlp_ae,mlp_ae@16,16.0,train,9,ask,volume,0.3395054042339325,0.3503850996494293,0.1584521830081939
mlp_ae,mlp_ae@16,16.0,train,10,bid,price,0.0854819640517234,0.0933854654431343,0.0368533916771411
mlp_ae,mlp_ae@16,16.0,train,10,ask,price,0.085332877933979,0.0937240943312645,0.0377558954060077
mlp_ae,mlp_ae@16,16.0,train,10,bid,volume,0.3362709879875183,0.4065819084644317,0.1719867289066314
mlp_ae,mlp_ae@16,16.0,train,10,ask,volume,0.442260593175888,0.4069274067878723,0.147961214184761
mlp_ae,mlp_ae@16,16.0,val,1,bid,price,0.0167417954653501,0.0991614684462547,0.0089311441406607
mlp_ae,mlp_ae@16,16.0,val,1,ask,price,0.0150136006996035,0.0929116383194923,0.0083784339949488
mlp_ae,mlp_ae@16,16.0,val,1,bid,volume,0.1346024274826049,0.2907753884792328,0.3907720744609833
mlp_ae,mlp_ae@16,16.0,val,1,ask,volume,0.6004255414009094,0.6066969037055969,0.2028973698616027
mlp_ae,mlp_ae@16,16.0,val,2,bid,price,0.0115882810205221,0.0845007002353668,0.0336385853588581
mlp_ae,mlp_ae@16,16.0,val,2,ask,price,0.010977148078382,0.0822108909487724,0.0328344292938709
mlp_ae,mlp_ae@16,16.0,val,2,bid,volume,0.0741602703928947,0.2235885560512542,0.4063546657562256
mlp_ae,mlp_ae@16,16.0,val,2,ask,volume,0.9315404891967772,0.7550763487815857,0.2143718004226684
mlp_ae,mlp_ae@16,16.0,val,3,bid,price,0.0116569623351097,0.0842436552047729,0.033499676734209
mlp_ae,mlp_ae@16,16.0,val,3,ask,price,0.0113338604569435,0.0832025036215782,0.0332663096487522
mlp_ae,mlp_ae@16,16.0,val,3,bid,volume,0.0769723653793335,0.2346866875886917,0.4178574681282043
mlp_ae,mlp_ae@16,16.0,val,3,ask,volume,0.7129846215248108,0.6062020659446716,0.1829921603202819
mlp_ae,mlp_ae@16,16.0,val,4,bid,price,0.011677966453135,0.0839903503656387,0.0333627164363861
mlp_ae,mlp_ae@16,16.0,val,4,ask,price,0.0117511507123708,0.0852029621601104,0.0341027677059173
mlp_ae,mlp_ae@16,16.0,val,4,bid,volume,0.0822444409132003,0.2328554689884185,0.3681123256683349
mlp_ae,mlp_ae@16,16.0,val,4,ask,volume,0.3621264100074768,0.4992464184761047,0.1602692157030105
mlp_ae,mlp_ae@16,16.0,val,5,bid,price,0.0097388140857219,0.0766929015517234,0.030431168153882
mlp_ae,mlp_ae@16,16.0,val,5,ask,price,0.0114168804138898,0.0834013521671295,0.0334176793694496
mlp_ae,mlp_ae@16,16.0,val,5,bid,volume,0.1085330247879028,0.2578849196434021,0.3406642377376556
mlp_ae,mlp_ae@16,16.0,val,5,ask,volume,0.4560324847698211,0.5722353458404541,0.1862481534481048
mlp_ae,mlp_ae@16,16.0,val,6,bid,price,0.0114670554175972,0.0831759944558143,0.0329676233232021
mlp_ae,mlp_ae@16,16.0,val,6,ask,price,0.0118993036448955,0.0848708152770996,0.0340429358184337
mlp_ae,mlp_ae@16,16.0,val,6,bid,volume,0.342324286699295,0.4580283761024475,0.3683324158191681
mlp_ae,mlp_ae@16,16.0,val,6,ask,volume,0.3927859961986542,0.4918769001960754,0.1754930317401886
mlp_ae,mlp_ae@16,16.0,val,7,bid,price,0.0112850423902273,0.0827538073062896,0.0327647663652896
mlp_ae,mlp_ae@16,16.0,val,7,ask,price,0.0120483953505754,0.0863353163003921,0.0346676334738731
