model,model_variant,latent_dim,split,timestep,normalized_mse,normalized_mae
train_mean_window,train_mean_window,,test,44,2.160572052001953,0.9100440740585327
train_mean_window,train_mean_window,,test,45,2.1741268634796143,0.9214123487472534
train_mean_window,train_mean_window,,test,46,2.192622184753418,0.9135096073150635
train_mean_window,train_mean_window,,test,47,2.278085708618164,0.9333915114402771
train_mean_window,train_mean_window,,test,48,2.1604762077331543,0.9100499749183655
train_mean_window,train_mean_window,,test,49,2.174056053161621,0.9214182496070862
train_mean_window,train_mean_window,,test,50,2.1925570964813232,0.9135157465934753
train_mean_window,train_mean_window,,test,51,2.2781312465667725,0.9333925843238831
train_mean_window,train_mean_window,,test,52,2.160388946533203,0.9100421667098999
train_mean_window,train_mean_window,,test,53,2.1739912033081055,0.9214049577713013
train_mean_window,train_mean_window,,test,54,2.1925418376922607,0.9135115146636963
train_mean_window,train_mean_window,,test,55,2.2781732082366943,0.9333982467651367
train_mean_window,train_mean_window,,test,56,2.16040301322937,0.9100486636161804
train_mean_window,train_mean_window,,test,57,2.174031972885132,0.9214134216308594
train_mean_window,train_mean_window,,test,58,2.1925437450408936,0.9135163426399231
train_mean_window,train_mean_window,,test,59,2.2782318592071533,0.9334096908569336
train_mean_window,train_mean_window,,test,60,2.160395383834839,0.9100512266159058
train_mean_window,train_mean_window,,test,61,2.174088478088379,0.9214243292808533
train_mean_window,train_mean_window,,test,62,2.19254469871521,0.9135137796401978
train_mean_window,train_mean_window,,test,63,2.2782912254333496,0.9334123134613037
train_mean_window,train_mean_window,,test,64,2.160398244857788,0.9100486636161804
train_mean_window,train_mean_window,,test,65,2.1741418838500977,0.921427309513092
train_mean_window,train_mean_window,,test,66,2.1925973892211914,0.9135147333145142
train_mean_window,train_mean_window,,test,67,2.2783894538879395,0.933412492275238
train_mean_window,train_mean_window,,test,68,2.1604418754577637,0.9100536704063416
train_mean_window,train_mean_window,,test,69,2.174248218536377,0.9214391112327576
train_mean_window,train_mean_window,,test,70,2.192629098892212,0.9135197401046753
train_mean_window,train_mean_window,,test,71,2.2784602642059326,0.9334157109260559
train_mean_window,train_mean_window,,test,72,2.16046404838562,0.9100562334060669
train_mean_window,train_mean_window,,test,73,2.174316167831421,0.9214416742324829
train_mean_window,train_mean_window,,test,74,2.192664623260498,0.913525402545929
train_mean_window,train_mean_window,,test,75,2.278545379638672,0.9334291815757751
train_mean_window,train_mean_window,,test,76,2.160518169403076,0.9100621342658997
train_mean_window,train_mean_window,,test,77,2.1744191646575928,0.9214504957199097
train_mean_window,train_mean_window,,test,78,2.1926865577697754,0.913519024848938
train_mean_window,train_mean_window,,test,79,2.2783203125,0.9334222674369812
train_mean_window,train_mean_window,,test,80,2.1601474285125732,0.9100406169891357
train_mean_window,train_mean_window,,test,81,2.174506187438965,0.9214506149291992
train_mean_window,train_mean_window,,test,82,2.1927685737609863,0.9135366082191467
train_mean_window,train_mean_window,,test,83,2.2781102657318115,0.933441162109375
train_mean_window,train_mean_window,,test,84,2.159816026687622,0.9100576043128967
train_mean_window,train_mean_window,,test,85,2.1742560863494873,0.9214842319488525
train_mean_window,train_mean_window,,test,86,2.192570209503174,0.9135687947273254
train_mean_window,train_mean_window,,test,87,2.277951717376709,0.9334548711776733
train_mean_window,train_mean_window,,test,88,2.159510374069214,0.9100641012191772
train_mean_window,train_mean_window,,test,89,2.173948287963867,0.9214918613433838
train_mean_window,train_mean_window,,test,90,2.192307233810425,0.9135828018188477
train_mean_window,train_mean_window,,test,91,2.2778000831604004,0.9334760904312134
train_mean_window,train_mean_window,,test,92,2.1591877937316895,0.9100882411003113
train_mean_window,train_mean_window,,test,93,2.1735970973968506,0.9215087294578552
train_mean_window,train_mean_window,,test,94,2.192075252532959,0.9136083126068115
train_mean_window,train_mean_window,,test,95,2.277653932571411,0.9335106015205383
train_mean_window,train_mean_window,,test,96,2.159386157989502,0.9101378321647644
train_mean_window,train_mean_window,,test,97,2.1738481521606445,0.921560525894165
train_mean_window,train_mean_window,,test,98,2.1918416023254395,0.9136242270469666
train_mean_window,train_mean_window,,test,99,2.2775022983551025,0.9335290789604187
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,0,1.4860376119613647,0.4308048188686371
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,1,1.4963254928588867,0.4305296242237091
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,2,1.4828100204467773,0.42845138907432556
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,3,1.487958550453186,0.4289407432079315
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,4,1.479719877243042,0.42763805389404297
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,5,1.4890658855438232,0.42723652720451355
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,6,1.4768426418304443,0.42573654651641846
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,7,1.4788799285888672,0.424960732460022
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,8,1.4723765850067139,0.42428213357925415
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,9,1.4796520471572876,0.42272788286209106
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,10,1.4703325033187866,0.42222732305526733
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,11,1.4713821411132812,0.42123308777809143
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,12,1.4658873081207275,0.420449435710907
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,13,1.475237250328064,0.41978877782821655
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,14,1.4654732942581177,0.4191647171974182
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,15,1.4668737649917603,0.4181680977344513
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,16,1.4584709405899048,0.41650518774986267
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,17,1.468223214149475,0.4158109426498413
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,18,1.457405686378479,0.41493645310401917
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,19,1.4589042663574219,0.4131002426147461
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,20,1.4502419233322144,0.4118964374065399
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,21,1.4602081775665283,0.41141477227211
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,22,1.4482580423355103,0.41010916233062744
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,23,1.4481548070907593,0.40821322798728943
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,24,1.439296841621399,0.4067121148109436
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,25,1.4491527080535889,0.4061797559261322
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,26,1.4375416040420532,0.4050595462322235
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,27,1.4373770952224731,0.40291300415992737
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,28,1.432016134262085,0.4017098546028137
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,29,1.4389022588729858,0.40020304918289185
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,30,1.4306796789169312,0.40010759234428406
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,31,1.4295262098312378,0.39814117550849915
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,32,1.42434561252594,0.39745521545410156
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,33,1.431185007095337,0.39564961194992065
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,34,1.4186911582946777,0.3940567672252655
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,35,1.4200981855392456,0.39314278960227966
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,36,1.4168912172317505,0.3928428888320923
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,37,1.4225560426712036,0.390520304441452
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,38,1.4099308252334595,0.3884064555168152
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,39,1.4100123643875122,0.38750192523002625
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,40,1.378136157989502,0.3838619589805603
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,41,1.3821839094161987,0.3822230100631714
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,42,1.3465189933776855,0.37768247723579407
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,43,1.3433080911636353,0.37602102756500244
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,44,1.312750220298767,0.3724296987056732
